dataset,auc_roc,n_valid,n_anomaly,best_channel
085_SVDB_id_2_Medical_tr_50000_1st_54982,0.636341,180208,8578,0
086_SVDB_id_3_Medical_tr_533_1st_633,0.657567,229675,16029,0
087_SVDB_id_4_Medical_tr_5421_1st_5521,0.719818,224787,12717,0
089_SVDB_id_6_Medical_tr_50000_1st_83083,0.859825,180208,3108,0
090_SVDB_id_7_Medical_tr_12157_1st_12257,0.720451,37651,2470,1
092_SVDB_id_9_Medical_tr_2674_1st_2774,0.924440,227534,12010,0
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.837462,60108,945,0
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.735037,223944,7372,1
097_SVDB_id_14_Medical_tr_1031_1st_1131,0.584698,229177,27697,1
099_SVDB_id_16_Medical_tr_1115_1st_1215,0.738351,229093,16305,0
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.738993,112405,3849,1
101_SVDB_id_18_Medical_tr_1851_1st_1951,0.778645,228357,16010,0
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.857870,180208,13376,1
103_SVDB_id_20_Medical_tr_12167_1st_12267,0.589663,218041,6059,0
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.727344,180208,3503,0
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.899947,112308,676,1
107_SVDB_id_24_Medical_tr_32805_1st_32905,0.590793,197403,6227,1
108_SVDB_id_25_Medical_tr_1238_1st_1338,0.858762,228970,6956,0
109_SVDB_id_26_Medical_tr_1038_1st_1138,0.641379,229170,20728,0
110_SVDB_id_27_Medical_tr_30824_1st_30924,0.807926,199384,7755,1
111_SVDB_id_28_Medical_tr_1791_1st_1891,0.671329,228417,21888,0
112_SVDB_id_29_Medical_tr_8226_1st_8326,0.616482,221982,2467,0
113_SVDB_id_30_Medical_tr_4552_1st_4652,0.768089,225656,9966,0
114_SVDB_id_31_Medical_tr_25000_1st_63090,0.764032,74808,497,0
